Row #,NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Common Name,Population Name,Listing Status,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,Reason Early Coordination Ended,NMFS Conclusion Regarding Impacts to Fish Habitat,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead
"9,758",SER-2000-454,"State lease 1367, Bay Marchand 3, Lafourche Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 11, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Whale, blue",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Lafourche Parish,,,SER,,,,,Bob Hoffman
"9,759",SER-2000-454,"State lease 1367, Bay Marchand 3, Lafourche Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 11, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, Kemp's ridley sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Lafourche Parish,,,SER,,,,,Bob Hoffman
"9,760",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, Kemp's ridley sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,761",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, green sea",Florida Breeding Populations,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,762",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Whale, right, North Atlantic",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,763",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Whale, humpback",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,764",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Whale, fin",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,765",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, loggerhead sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,766",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, leatherback sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,767",SER-2000-456,"State Lease 3529 1/1D, 2, 4/4D, 6/6D West Delta 23; State Lease 3529 19/19D, 9/9D West Delta 24, Plaquemines Parish, LA",Informal,Completed,"ESA-S7, Informal",,"Apr 17, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, hawksbill sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Plaquemines Parish,,,SER,,,,,Bob Hoffman
"9,768",SER-2000-457,"Sec 10 permit appli to establish F.U.R.A. Marine Station and pier construction, Puerto Nuevo Ward, Vega Baja, PR",Informal,Completed,"ESA-S7, Informal",,"Apr 18, 2000 12:00:00 AM",,,2000-04-25,,,,,,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Puerto Nuevo Ward, Vega Baja",,,SER,,,,,Eric Hawk
"9,769",SER-2000-464," Relocate above ground concrete diesel and gasoline tanks, CG Integrated Support Command, Miami Beach",Informal,Completed,"ESA-S7, Informal",,"Apr 19, 2000 12:00:00 AM",2000-04-19,2000-05-18,2000-04-26,,,,,,"Seagrass, Johnson's",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Miami Beach,,,SER,,,,,Bob Hoffman
"9,770",SER-2000-465,Reinitiation of consultation for St. Lucie Nuclear Plant due to exceeding the Lethal Take Limit,Formal,Completed,"ESA-S7, Formal",,"Apr 19, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, Kemp's ridley sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,SER,,,,,Bob Hoffman
"9,771",SER-2000-465,Reinitiation of consultation for St. Lucie Nuclear Plant due to exceeding the Lethal Take Limit,Formal,Completed,"ESA-S7, Formal",,"Apr 19, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, green sea",Florida Breeding Populations,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,SER,,,,,Bob Hoffman
"9,772",SER-2000-465,Reinitiation of consultation for St. Lucie Nuclear Plant due to exceeding the Lethal Take Limit,Formal,Completed,"ESA-S7, Formal",,"Apr 19, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, hawksbill sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,SER,,,,,Bob Hoffman
"9,773",SER-2000-465,Reinitiation of consultation for St. Lucie Nuclear Plant due to exceeding the Lethal Take Limit,Formal,Completed,"ESA-S7, Formal",,"Apr 19, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, leatherback sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,SER,,,,,Bob Hoffman
"9,774",SER-2000-465,Reinitiation of consultation for St. Lucie Nuclear Plant due to exceeding the Lethal Take Limit,Formal,Completed,"ESA-S7, Formal",,"Apr 19, 2000 12:00:00 AM",,,2000-04-19,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,SER,,,,,Bob Hoffman
"9,775",SER-2000-478,"Dredge sand from mouth of Altoona Lagoon, Christiansted, St. Croix, U.S. Virgin Islands to reestablish flow into the lagoon and out to the sea",Informal,Completed,"ESA-S7, Informal",,"Apr 26, 2000 12:00:00 AM",,,2000-04-26,,,,,,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,"Christiansted, St. Croix",,,SER,,,,,Eric Hawk
"9,776",SER-2000-506,"Southern LNG, Inc. - Elba Island LNG facility reactivation and modifications, Chatham County, GA",Informal,Completed,"ESA-S7, Informal",,"May 3, 2000 12:00:00 AM",,,2000-05-09,,,,,,"Turtle, green sea",Florida Breeding Populations,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Chatham County,,,SER,,,,,Eric Hawk
"9,777",SER-2000-506,"Southern LNG, Inc. - Elba Island LNG facility reactivation and modifications, Chatham County, GA",Informal,Completed,"ESA-S7, Informal",,"May 3, 2000 12:00:00 AM",,,2000-05-09,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Chatham County,,,SER,,,,,Eric Hawk
"9,778",SER-2000-506,"Southern LNG, Inc. - Elba Island LNG facility reactivation and modifications, Chatham County, GA",Informal,Completed,"ESA-S7, Informal",,"May 3, 2000 12:00:00 AM",,,2000-05-09,,,,,,"Turtle, Kemp's ridley sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Chatham County,,,SER,,,,,Eric Hawk
"9,779",SER-2000-506,"Southern LNG, Inc. - Elba Island LNG facility reactivation and modifications, Chatham County, GA",Informal,Completed,"ESA-S7, Informal",,"May 3, 2000 12:00:00 AM",,,2000-05-09,,,,,,"Turtle, hawksbill sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Chatham County,,,SER,,,,,Eric Hawk
"9,780",SER-2000-506,"Southern LNG, Inc. - Elba Island LNG facility reactivation and modifications, Chatham County, GA",Informal,Completed,"ESA-S7, Informal",,"May 3, 2000 12:00:00 AM",,,2000-05-09,,,,,,"Turtle, loggerhead sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Chatham County,,,SER,,,,,Eric Hawk
"9,781",SER-2000-506,"Southern LNG, Inc. - Elba Island LNG facility reactivation and modifications, Chatham County, GA",Informal,Completed,"ESA-S7, Informal",,"May 3, 2000 12:00:00 AM",,,2000-05-09,,,,,,"Turtle, leatherback sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Chatham County,,,SER,,,,,Eric Hawk
"9,782",SER-2000-519,"Marine Events - Blessing of the Port/Nat. Maritime Day, Brunswick River, GA",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,"Turtle River, Brunswick, River, St. Simon Sound",,,SER,,,,,Bob Hoffman
"9,783",SER-2000-520,"Marine Event - King Buster Classic 00, June 8-10, St. Augustine",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,St. Augustine,,,SER,,,,,Bob Hoffman
"9,784",SER-2000-521,"Marine Event - Memorial Day Fireworks, 5/29, St. Johns River",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,"St. Johns River, Green Cove Springs",,,SER,,,,,Bob Hoffman
"9,785",SER-2000-522,"Marine Event - Fishing Rodeo 2000, 5/20, Mayport",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,Mayport,,,SER,,,,,Bob Hoffman
"9,786",SER-2000-523,"Marine Event - Cal Dixon Celebrity Offshore Fishing Classic, 5/20, Port Canaveral",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,Port Canaveral,,,SER,,,,,Bob Hoffman
"9,787",SER-2000-525,"Marine Event - St. Augustine Race, 5/27, St. Augustine",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,St. Augustine,,,SER,,,,,Bob Hoffman
"9,788",SER-2000-526,"Marine Event - 16th Annual CFDA Memorial Day Weekend Offshore Fishing Tournament, 5/22, Port Canaveral",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,Port Canaveral,,,SER,,,,,Bob Hoffman
"9,789",SER-2000-527,"Marine Event - Blue Crab Festival, 5/28, Palatka",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,Palatka,,,SER,,,,,Bob Hoffman
"9,790",SER-2000-528,"Marine Event - Cathedral Festival, 5/28, St. Augustine",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-05-09,,,,,,,,,No Effect,No Response,,No Response,,,,,,,,,St. Augustine,,,SER,,,,,Bob Hoffman
"9,791",SER-2000-530,"Repair boat ramp at MSO Port Arthur moorings, Port Arthur, TX",Informal,Completed,"ESA-S7, Informal",,"May 5, 2000 12:00:00 AM",,,2000-06-08,,,,,,,,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Port Arthur,,,SER,,,,,Eric Hawk
"9,792",SER-2000-531,Permit appli 199702734 (LP-BM) - extension of single family dock (McDonald) located on the IWW,Informal,Completed,"ESA-S7, Informal",,"Aug 12, 1999 12:00:00 AM",,,2000-05-04,,,,,,"Turtle, green sea",Florida Breeding Populations,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Jupiter,,,SER,,,,,Bob Hoffman
"9,793",SER-2000-531,Permit appli 199702734 (LP-BM) - extension of single family dock (McDonald) located on the IWW,Informal,Completed,"ESA-S7, Informal",,"Aug 12, 1999 12:00:00 AM",,,2000-05-04,,,,,,"Turtle, hawksbill sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Jupiter,,,SER,,,,,Bob Hoffman
"9,794",SER-2000-531,Permit appli 199702734 (LP-BM) - extension of single family dock (McDonald) located on the IWW,Informal,Completed,"ESA-S7, Informal",,"Aug 12, 1999 12:00:00 AM",,,2000-05-04,,,,,,"Turtle, leatherback sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Jupiter,,,SER,,,,,Bob Hoffman
"9,795",SER-2000-531,Permit appli 199702734 (LP-BM) - extension of single family dock (McDonald) located on the IWW,Informal,Completed,"ESA-S7, Informal",,"Aug 12, 1999 12:00:00 AM",,,2000-05-04,,,,,,"Turtle, loggerhead sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Jupiter,,,SER,,,,,Bob Hoffman
"9,796",SER-2000-531,Permit appli 199702734 (LP-BM) - extension of single family dock (McDonald) located on the IWW,Informal,Completed,"ESA-S7, Informal",,"Aug 12, 1999 12:00:00 AM",,,2000-05-04,,,,,,"Seagrass, Johnson's",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Jupiter,,,SER,,,,,Bob Hoffman
"9,797",SER-2000-531,Permit appli 199702734 (LP-BM) - extension of single family dock (McDonald) located on the IWW,Informal,Completed,"ESA-S7, Informal",,"Aug 12, 1999 12:00:00 AM",,,2000-05-04,,,,,,"Turtle, Kemp's ridley sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,Jupiter,,,SER,,,,,Bob Hoffman
"9,798",SER-2000-535,"Improvements for Wilmington Harbor 96 Act Project, Wilmington Harbor, NC",Formal,Completed,"ESA-S7, Formal",,"Feb 7, 2000 12:00:00 AM",,,2000-08-03,,,,,,"Silverside, Key",Florida Keys,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Wilmington Harbor,,,SER,,,,,Jennifer Lee
"9,799",SER-2000-535,"Improvements for Wilmington Harbor 96 Act Project, Wilmington Harbor, NC",Formal,Completed,"ESA-S7, Formal",,"Feb 7, 2000 12:00:00 AM",,,2000-08-03,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Wilmington Harbor,,,SER,,,,,Jennifer Lee
"9,800",SER-2000-535,"Improvements for Wilmington Harbor 96 Act Project, Wilmington Harbor, NC",Formal,Completed,"ESA-S7, Formal",,"Feb 7, 2000 12:00:00 AM",,,2000-08-03,,,,,,"Turtle, green sea",Florida Breeding Populations,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Wilmington Harbor,,,SER,,,,,Jennifer Lee
"9,801",SER-2000-535,"Improvements for Wilmington Harbor 96 Act Project, Wilmington Harbor, NC",Formal,Completed,"ESA-S7, Formal",,"Feb 7, 2000 12:00:00 AM",,,2000-08-03,,,,,,"Turtle, hawksbill sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Wilmington Harbor,,,SER,,,,,Jennifer Lee
"9,802",SER-2000-535,"Improvements for Wilmington Harbor 96 Act Project, Wilmington Harbor, NC",Formal,Completed,"ESA-S7, Formal",,"Feb 7, 2000 12:00:00 AM",,,2000-08-03,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Wilmington Harbor,,,SER,,,,,Jennifer Lee
"9,803",SER-2000-535,"Improvements for Wilmington Harbor 96 Act Project, Wilmington Harbor, NC",Formal,Completed,"ESA-S7, Formal",,"Feb 7, 2000 12:00:00 AM",,,2000-08-03,,,,,,"Turtle, leatherback sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Wilmington Harbor,,,SER,,,,,Jennifer Lee
"9,804",SER-2000-537,DA permit appli 199102034 (IP-DSG) - The Enclave project for dredging in waters of the U.S. for the construction of a marina,Formal,,"ESA-S7, Formal",,"May 1, 2000 12:00:00 AM",,,2000-06-08,,,,,,"Seagrass, Johnson's",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Hillsboro Beach, Broward County",,,SER,,,,,Bob Hoffman
"9,805",SER-2000-539,Ernest F. Lyons Bridge replacement in Martin County,Informal,Completed,"ESA-S7, Informal",,"May 8, 2000 12:00:00 AM",,,2000-05-09,,,,,,"Seagrass, Johnson's",Range-wide,,No Effect,No Response,,No Response,,,,,,,,,Martin County,,,SER,,,,,Bob Hoffman
"9,806",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Whale, sperm",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,807",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Whale, sei",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,808",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Whale, humpback",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,809",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Whale, fin",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,810",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Whale, blue",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,811",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Turtle, loggerhead sea",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,812",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Turtle, leatherback sea",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,813",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Turtle, hawksbill sea",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,814",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Turtle, Kemp's ridley sea",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,815",SER-2000-540,"Reinitiation of consultation on the Atlantic Pelagic Fisheries for swordfish, tuna, shark and billfish in the U.S. EEZ: proposed rule to implement a regulatory amendment to the HMS FMP; reduction of bycatch and incidental catch in the Atlantic pelagic lon",Formal,,"ESA-S7, Formal",,"Apr 24, 2000 12:00:00 AM",,,2000-06-30,,,,,,"Turtle, green sea",Florida Breeding Populations,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,Atlantic Ocean from Caribbean to Maine and Gulf of Mexico,,,SER,,,,,Kathy Wang
"9,816",SER-2000-541,"South Atlantic swordfish pelagic longline on Atlantic pelagic fishery for swordfish, tuna, and shark in the EEZ",Informal,Completed,"ESA-S7, Informal",,"May 18, 1998 12:00:00 AM",,,1998-08-05,,,,,,"Turtle, green sea",Florida Breeding Populations,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,South Atlantic,,,SER,,,,,Kathy Wang
"9,817",SER-2000-541,"South Atlantic swordfish pelagic longline on Atlantic pelagic fishery for swordfish, tuna, and shark in the EEZ",Informal,Completed,"ESA-S7, Informal",,"May 18, 1998 12:00:00 AM",,,1998-08-05,,,,,,"Turtle, hawksbill sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,South Atlantic,,,SER,,,,,Kathy Wang
"9,818",SER-2000-541,"South Atlantic swordfish pelagic longline on Atlantic pelagic fishery for swordfish, tuna, and shark in the EEZ",Informal,Completed,"ESA-S7, Informal",,"May 18, 1998 12:00:00 AM",,,1998-08-05,,,,,,"Turtle, leatherback sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,South Atlantic,,,SER,,,,,Kathy Wang
"9,819",SER-2000-541,"South Atlantic swordfish pelagic longline on Atlantic pelagic fishery for swordfish, tuna, and shark in the EEZ",Informal,Completed,"ESA-S7, Informal",,"May 18, 1998 12:00:00 AM",,,1998-08-05,,,,,,"Turtle, loggerhead sea",Range-wide,,May Affect - Not Likely to Adversely Affect,Not Likely to Adversely Affect,,May Affect - Not Likely to Adversely Affect,,,,,,,,,South Atlantic,,,SER,,,,,Kathy Wang
