,NMFS.Tracking.Number,Common.Name,Population.Name,Species Determination,Critical Habitat Determination,NEW Jeopardy,NEW Critical Habitat,,,,
111695,WCR-2015-3524,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111696,WCR-2015-3524,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111697,WCR-2015-3524,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111698,WCR-2015-3524,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111699,WCR-2015-3525,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111700,WCR-2015-3525,"Salmon, Chinook",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111701,WCR-2015-3525,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111702,WCR-2015-3525,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111703,WCR-2015-3526,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111704,WCR-2015-3526,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111705,WCR-2015-3526,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111706,WCR-2015-3526,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111707,WCR-2015-3527,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111708,WCR-2015-3527,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111709,WCR-2015-3527,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111710,WCR-2015-3527,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111711,WCR-2015-3528,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111712,WCR-2015-3528,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111713,WCR-2015-3528,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111714,WCR-2015-3528,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111718,WCR-2015-3531,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111719,WCR-2015-3531,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111720,WCR-2015-3531,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111721,WCR-2015-3531,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111722,WCR-2015-3532,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111723,WCR-2015-3532,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111724,WCR-2015-3532,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111725,WCR-2015-3532,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111726,WCR-2015-3533,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111727,WCR-2015-3533,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111728,WCR-2015-3533,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111729,WCR-2015-3533,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111730,WCR-2015-3534,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111731,WCR-2015-3534,"Salmon, Chinook",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111732,WCR-2015-3534,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111733,WCR-2015-3535,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111734,WCR-2015-3535,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111735,WCR-2015-3535,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111736,WCR-2015-3535,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111737,WCR-2015-3536,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111738,WCR-2015-3536,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111739,WCR-2015-3536,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111740,WCR-2015-3536,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111741,WCR-2015-3537,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111742,WCR-2015-3537,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111743,WCR-2015-3537,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111744,WCR-2015-3537,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111745,WCR-2015-3538,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111746,WCR-2015-3538,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111747,WCR-2015-3538,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111748,WCR-2015-3538,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111749,WCR-2015-3539,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111750,WCR-2015-3539,"Salmon, Chinook",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111751,WCR-2015-3539,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111752,WCR-2015-3542,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111753,WCR-2015-3542,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111754,WCR-2015-3542,"Salmon, Chinook",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111913,WCR-2015-3801,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111914,WCR-2015-3801,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111915,WCR-2015-3801,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111916,WCR-2015-3801,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111923,WCR-2015-3809,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
111924,WCR-2015-3809,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112416,WCR-2016-4492,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112417,WCR-2016-4492,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112451,WCR-2016-4548,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112452,WCR-2016-4548,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112453,WCR-2016-4548,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112454,WCR-2016-4548,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112455,WCR-2016-4550,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112456,WCR-2016-4550,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112457,WCR-2016-4550,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112458,WCR-2016-4550,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112603,WCR-2016-4809,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112604,WCR-2016-4809,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112605,WCR-2016-4809,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112606,WCR-2016-4809,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112683,WCR-2016-4900,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112691,WCR-2016-4914,"Rockfish, canary",Puget Sound/Georgia Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112692,WCR-2016-4914,"Rockfish, yelloweye",Puget Sound/Georgia Basin DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
112998,WCR-2016-5341,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113054,WCR-2016-5415,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113069,WCR-2016-5440,"Salmon, Chinook",California Coastal ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113070,WCR-2016-5440,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113071,WCR-2016-5440,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113072,WCR-2016-5440,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113148,WCR-2016-5553,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113149,WCR-2016-5553,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113150,WCR-2016-5553,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113151,WCR-2016-5553,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113159,WCR-2016-5574,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113161,WCR-2016-5574,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113339,WCR-2016-5840,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113341,WCR-2016-5840,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113342,WCR-2016-5840,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113524,WCR-2017-6273,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113525,WCR-2017-6273,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113526,WCR-2017-6273,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113670,WCR-2017-6665,"Salmon, Chinook",Central Valley spring-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113671,WCR-2017-6665,"Salmon, Chinook",Sacramento River winter-run ESU,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113672,WCR-2017-6665,"Sturgeon, green",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113673,WCR-2017-6665,Steelhead,California Central Valley DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113706,780001,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113707,780002,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113708,780003,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113709,780005,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113710,780006,"Whale, humpback",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113711,790001,"Turtle, olive ridley sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113712,790002,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113713,790003,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113714,790004,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113715,790005,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113716,790006,"Turtle, olive ridley sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113717,790007,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113718,790008,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113719,790009,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113721,790014,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113722,790015,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113723,790016,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113724,790017,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113725,790018,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113726,790019,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113727,800002,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113728,800003,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113729,800005,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113730,800006,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113731,800007,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113732,800008,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113733,800009,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113734,800010,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113735,800011,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113736,800012,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113737,800014,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113738,810001,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113739,810004,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113740,810005,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113741,810006,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113742,810007,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113743,810008,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113744,810009,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113745,810011,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113746,810012,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113747,810013,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113749,810016,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113750,810017,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113751,810018,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113752,810019,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113753,810020,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113754,810021,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113755,810022,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113756,820001,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113757,820002,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113758,820003,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113759,820006,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113760,820007,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113761,820008,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113762,820009,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113763,820010,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113764,820012,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113765,820013,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113766,820015,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113768,820017,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113769,820018,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113770,820019,"Whale, humpback",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113771,820020,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113772,820021,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113773,820023,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113774,820024,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113775,820025,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113776,830001,NA,Eastern North Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113777,830002,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113778,830003,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113779,830004,"Whale, humpback",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113780,830005,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113781,830006,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113782,830007,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113783,830009,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113784,830010,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113785,830011,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113786,830013,Totoaba,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113787,830014,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113789,830016,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113790,830017,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113791,830019,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113792,830021,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113793,830022,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113794,840001,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113795,840002,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113796,840003,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113797,840004,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113798,840006,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113799,840007,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113800,840008,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113802,840011,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113803,840012,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113804,840013,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113805,840014,"Whale, bowhead",Western Arctic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113807,840017,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113808,840018,"Whale, gray",Eastern North Pacific DPS,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113809,840019,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113810,840021,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
113811,840022,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
